[1][CALL] from=0x57c112, to=0x450595, 0x320bd352() -> None
  [2][CREATE] from=0x450595, to=0xe2a662, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xe2a662) -> None
  [2][CREATE] from=0x450595, to=0x863389, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x863389) -> None
  [2][CREATE] from=0x450595, to=0x31497c, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x31497c) -> None
  [2][CREATE] from=0x450595, to=0x20aa99, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x20aa99) -> None
  [2][CREATE] from=0x450595, to=0x10e80c, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x10E80C) -> None
  [2][CREATE] from=0x450595, to=0x186291, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x186291) -> None
  [2][CREATE] from=0x450595, to=0x4c5cb9, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x4c5cB9) -> None
  [2][CREATE] from=0x450595, to=0x15528c, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x15528c) -> None
  [2][CREATE] from=0x450595, to=0xf3d24b, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xF3D24b) -> None
  [2][CREATE] from=0x450595, to=0xaf0bb4, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xAf0Bb4) -> None
  [2][CREATE] from=0x450595, to=0x191ef0, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x191EF0) -> None
